year,forest_ba(km2)
1916,816.36
1917,4832.1
1918,2845.8
1919,8279.7
1920,1850.6
1921,2372.4
1922,4291.9
1923,3192.4
1924,4990.6
1925,1794.7
1926,6006.5
1927,1412.7
1928,3798
1929,5726.9
1930,1515.2
1931,4897.4
1932,2064.9
1933,1850.6
1934,2558.7
1935,1030.7
1936,2763.8
1937,313.18
1938,1319.5
1939,2633.3
1940,1422
1941,1161.1
1942,1981
1943,3136.5
1944,2204.7
1945,2437.6
1946,1310.2
1947,1310.2
1948,993.38
1949,956.09
1950,1766.7
1951,1869.2
1952,387.72
1953,1151.8
1954,471.6
1955,1058.6
1956,918.85
1957,760.43
1958,1170.4
1959,1077.2
1960,1627
1961,1338.1
1962,536.8
1963,443.63
1964,844.28
1965,322.49
1966,1226.3
1967,536.8
1968,592.69
1969,378.4
1970,1226.3
1971,1086.5
1972,527.48
1973,1170.4
1974,928.17
1975,536.8
1976,648.62
1977,1002.7
1978,350.45
1979,1571.1
1980,1179.7
1981,1254.3
1982,499.52
1983,1524.5
1984,287.83
1985,1112.5
1986,434.56
1987,2853
1988,7976.4
1989,968.11
1990,1100.5
1991,228.2
1992,894.13
1993,328.96
1994,2966.6
1995,423.02
1996,2501.6
1997,287.57
1998,386.43
1999,1786.6
2000,6507.9
2001,2104.3
2002,8336
2003,5245.1
2004,1694.7
2005,2194.4
2006,5338.9
2007,8504
2008,4420.7
2009,1931.9
2010,711.11
2011,6312
2012,11182
2013,4892.4
2014,4074.9
2015,8329.6
2016,4152.9
2017,10203
2018,10600
2019,1400
2020,18750
